product_category_name_english,order_purchase_year_month,customer_state,order_count,price
agro_industry_and_commerce,1,SP,2,43.98
agro_industry_and_commerce,2,MS,2,114.89
agro_industry_and_commerce,3,PR,1,59.99
agro_industry_and_commerce,5,PR,1,869.97
agro_industry_and_commerce,6,PR,1,1390.0
agro_industry_and_commerce,7,SP,1,1180.0
agro_industry_and_commerce,8,RO,4,88.0
agro_industry_and_commerce,9,RJ,1,799.99
agro_industry_and_commerce,10,SP,2,2434.0
agro_industry_and_commerce,11,MG,6,5934.6
agro_industry_and_commerce,12,RJ,1,2199.0
agro_industry_and_commerce,1,SP,7,3117.0
agro_industry_and_commerce,2,SP,9,2621.8
agro_industry_and_commerce,3,SP,19,3059.0
agro_industry_and_commerce,4,AL,1,1476.3
agro_industry_and_commerce,5,SP,4,2102.0
agro_industry_and_commerce,6,SP,5,2207.9
agro_industry_and_commerce,7,SP,14,2033.0900000000001
agro_industry_and_commerce,8,MG,2,2048.9
air_conditioning,10,SC,4,599.6
air_conditioning,1,SP,3,474.70000000000005
air_conditioning,2,SP,4,1168.9
air_conditioning,3,SP,9,1564.2800000000004
air_conditioning,4,RJ,3,1077.75
air_conditioning,5,SP,3,451.78999999999996
air_conditioning,6,RJ,4,1138.75
air_conditioning,7,RJ,3,1259.3000000000002
air_conditioning,8,RJ,6,2974.8
air_conditioning,9,RJ,3,1155.8899999999999
air_conditioning,10,SP,7,1742.0
air_conditioning,11,SP,12,2841.9300000000003
air_conditioning,12,RJ,1,299.9
air_conditioning,1,RJ,10,2572.08
air_conditioning,2,SP,7,1933.1000000000004
air_conditioning,3,SP,11,1235.58
air_conditioning,4,SP,9,997.5
air_conditioning,5,SP,6,915.8
air_conditioning,6,SP,11,1856.8
air_conditioning,7,SP,8,1124.9699999999998
air_conditioning,8,SP,10,1860.4
art,3,GO,1,109.6
art,4,BA,1,119.9
art,5,SP,2,6502.5
art,6,SP,9,373.05
art,7,DF,1,239.9
art,8,RJ,1,110.0
art,9,SP,2,339.89
art,10,RJ,2,229.05
art,11,MG,1,75.0
art,12,SP,2,65.35
art,1,SP,12,1603.8100000000002
art,2,SP,4,381.86999999999995
art,3,SP,4,241.5
art,4,SP,12,1149.83
art,5,SP,16,1317.41
art,6,SP,16,1431.51
art,7,SP,8,678.93
art,8,SP,9,742.4399999999999
arts_and_craftmanship,5,MG,1,21.99
arts_and_craftmanship,7,MG,1,129.9
arts_and_craftmanship,4,MG,1,15.99
arts_and_craftmanship,5,SP,1,89.8
arts_and_craftmanship,7,SP,9,467.17999999999995
arts_and_craftmanship,8,SP,6,349.27
audio,10,RJ,1,132.0
audio,2,MG,2,69.9
audio,3,SP,5,293.78000000000003
audio,4,SP,6,489.4
audio,5,SP,6,868.5899999999999
audio,6,SP,4,522.0
audio,7,SP,4,413.79999999999995
audio,8,RJ,2,703.9
audio,9,SC,1,229.99
audio,10,SP,16,907.4899999999998
audio,11,SP,14,1557.2500000000005
audio,12,SP,9,987.3699999999999
audio,1,SP,11,2082.3900000000003
audio,2,RJ,3,948.99
audio,3,SP,6,2734.0
audio,4,SP,14,2866.0000000000005
audio,5,SP,10,1719.08
audio,6,DF,2,600.9
audio,7,RJ,4,797.0
audio,8,RJ,8,1006.5
auto,10,CE,1,499.99
auto,1,SP,12,2196.48
auto,2,SP,26,4893.629999999999
auto,3,SP,39,5009.079999999999
auto,4,SP,33,4581.58
auto,5,SP,46,6971.76
auto,6,SP,53,17928.079999999994
auto,7,SP,50,5156.7599999999975
auto,8,SP,62,5380.019999999999
auto,9,SP,35,3420.41
auto,10,SP,48,5167.3499999999985
auto,11,SP,110,11974.569999999987
auto,12,SP,119,14912.649999999989
auto,1,SP,117,15477.439999999997
auto,2,SP,127,12879.789999999988
auto,3,SP,140,17519.959999999992
auto,4,SP,143,17522.229999999992
auto,5,SP,146,17454.409999999985
auto,6,SP,128,14464.60999999999
auto,7,SP,140,11614.83999999999
auto,8,SP,169,19361.83
baby,10,RJ,3,619.88
baby,1,RS,3,2643.0
baby,2,RJ,3,904.9
baby,3,SP,13,1198.42
baby,4,SP,21,1381.8200000000002
baby,5,SP,37,2894.9900000000007
baby,6,SP,44,3759.010000000001
baby,7,SP,54,6526.409999999995
baby,8,SP,44,7208.0499999999965
baby,9,SP,68,8727.059999999996
baby,10,SP,62,5956.409999999996
baby,11,SP,81,7102.609999999993
baby,12,SP,55,7101.1299999999965
baby,1,SP,80,11768.809999999989
baby,2,SP,72,9813.219999999994
baby,3,SP,96,14924.329999999987
baby,4,SP,98,14607.629999999986
baby,5,SP,124,17644.599999999988
baby,6,SP,94,13891.869999999992
baby,7,SP,98,8375.639999999987
baby,8,SP,102,11600.689999999988
bed_bath_table,10,PR,5,219.29
bed_bath_table,1,SP,18,1573.4800000000002
bed_bath_table,2,SP,68,5909.249999999996
bed_bath_table,3,SP,130,11899.999999999976
bed_bath_table,4,SP,115,11824.74999999997
bed_bath_table,5,SP,161,13100.589999999973
bed_bath_table,6,SP,177,15510.43999999997
bed_bath_table,7,SP,247,26513.34000000007
bed_bath_table,8,SP,232,22361.58000000003
bed_bath_table,9,SP,217,20907.650000000027
bed_bath_table,10,SP,217,17178.33999999997
bed_bath_table,11,SP,403,37541.650000000205
bed_bath_table,12,SP,245,23143.70000000006
bed_bath_table,1,SP,412,36366.67000000019
bed_bath_table,2,SP,323,27218.34000000012
bed_bath_table,3,SP,374,32089.480000000145
bed_bath_table,4,SP,354,33004.21000000016
bed_bath_table,5,SP,416,39116.050000000185
bed_bath_table,6,SP,420,38029.58000000016
bed_bath_table,7,SP,323,27613.83000000006
